Rank,Full Journal Title,ISSN
554,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567
554,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567
556,STROKE,0039-2499
557,Therapeutic Advances in Medical Oncology,1758-8340
558,IEEE Transactions on Sustainable Energy,1949-3029
559,Protein & Cell,1674-800X
560,INVESTIGATIVE RADIOLOGY,0020-9996
561,Circulation-Cardiovascular Imaging,1941-9651
562,PERIODONTOLOGY 2000,0906-6713
563,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,1756-9966
564,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,1040-8398
565,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,0047-2506
566,BRAIN PATHOLOGY,1015-6305
567,EBioMedicine,2352-3964
568,CRITICAL REVIEWS IN PLANT SCIENCES,0735-2689
569,Materials Research Letters,2166-3831
570,PLoS Pathogens,1553-7366
571,Social Issues and Policy Review,1751-2395
572,BREAST CANCER RESEARCH,1465-542X
573,ACS Sustainable Chemistry & Engineering,2168-0485
574,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,1084-9521
575,ACS Macro Letters,2161-1653
575,IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062
575,MOLECULAR ECOLOGY,0962-1083
578,BRITISH JOURNAL OF DERMATOLOGY,0007-0963
579,PSYCHOLOGICAL SCIENCE,0956-7976
579,QUARTERLY REVIEWS OF BIOPHYSICS,0033-5835
581,AUTOMATICA,0005-1098
582,Brain Stimulation,1935-861X
583,Pigment Cell & Melanoma Research,1755-1471
584,Journal of Supply Chain Management,1523-2409
584,Particle and Fibre Toxicology,1743-8977
586,Clinical Epigenetics,1868-7083
587,Environmental Science-Nano,2051-8153
588,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,1079-5642
589,CANCER AND METASTASIS REVIEWS,0167-7659
590,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,0305-1846
591,AMERICAN JOURNAL OF SPORTS MEDICINE,0363-5465
592,ADDICTION,0965-2140
592,ADDICTION,0965-2140
592,ALLERGY,0105-4538
595,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,0271-678X
596,ANALYTICAL CHEMISTRY,0003-2700
597,IEEE Vehicular Technology Magazine,1556-6072
598,ACTA MATERIALIA,1359-6454
599,Emerging Microbes & Infections,2222-1751
600,Annual Review of Environment and Resources,1543-5938
600,Annual Review of Environment and Resources,1543-5938
602,DIABETOLOGIA,0012-186X
603,FREE RADICAL BIOLOGY AND MEDICINE,0891-5849
604,Acta Pharmaceutica Sinica B,2211-3835
604,Nanophotonics,2192-8606
606,ULTRASONICS SONOCHEMISTRY,1350-4177
607,JOURNAL OF BUSINESS VENTURING,0883-9026
607,MILBANK QUARTERLY,0887-378X
607,MILBANK QUARTERLY,0887-378X
607,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,0079-6565
611,LAB ON A CHIP,1473-0197
612,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716
613,DIABETES OBESITY & METABOLISM,1462-8902
614,Journal of Materials Chemistry C,2050-7526
615,JOURNAL OF NEUROSCIENCE,0270-6474
616,METABOLISM-CLINICAL AND EXPERIMENTAL,0026-0495
617,GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X
618,PLANT PHYSIOLOGY,0032-0889
619,PHYSIOLOGY,1548-9213
620,Advances in Immunology,0065-2776
621,Acta Physiologica,1748-1708
622,BRITISH JOURNAL OF CANCER,0007-0920
623,TOURISM MANAGEMENT,0261-5177
624,CHEMISTRY & BIOLOGY,1074-5521
625,MACROMOLECULES,0024-9297
626,Mobile DNA,1759-8753
627,CONSERVATION BIOLOGY,0888-8892
628,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1536-1276
629,ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392
629,AMERICAN JOURNAL OF SURGICAL PATHOLOGY,0147-5185
631,CLADISTICS,0748-3007
632,BIOSCIENCE,0006-3568
633,IEEE Internet of Things Journal,2327-4662
634,Molecular Autism,2040-2392
634,Translational Neurodegeneration,2047-9158
636,Environmental Science & Technology Letters,2328-8930
637,BRITISH JOURNAL OF PSYCHIATRY,0007-1250
637,BRITISH JOURNAL OF PSYCHIATRY,0007-1250
639,RESUSCITATION,0300-9572
640,Internet and Higher Education,1096-7516
641,GLIA,0894-1491
642,Wiley Interdisciplinary Reviews-RNA,1757-7004
643,Clinical Journal of the American Society of Nephrology,1555-9041
644,Biomaterials Science,2047-4830
645,Current Topics in Microbiology and Immunology,0070-217X
646,IEEE Transactions on Information Forensics and Security,1556-6013
647,Nanotoxicology,1743-5390
648,BIORESOURCE TECHNOLOGY,0960-8524
649,Comprehensive Physiology,2040-4603
650,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,0021-972X
651,NUTRITION REVIEWS,0029-6643
652,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,1359-0294
653,Annual Review of Organizational Psychology and Organizational Behavior,2327-0608
653,PLANT JOURNAL,0960-7412
655,BMC BIOLOGY,1741-7007
656,JOURNAL OF MEDICAL GENETICS,0022-2593
657,mSystems,2379-5077
658,JOURNAL OF APPLIED ECOLOGY,0021-8901
659,BIOMACROMOLECULES,1525-7797
660,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,0022-3514
661,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,0002-9378
662,ARCHIVES OF TOXICOLOGY,0340-5761
663,BASIC RESEARCH IN CARDIOLOGY,0300-8428
664,Neurotherapeutics,1933-7213
665,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,1569-1705
666,ACS Sensors,2379-3694
667,MICROCHIMICA ACTA,0026-3672
668,Circulation-Heart Failure,1941-3289
668,Epidemiology and Psychiatric Sciences,2045-7960
668,Epidemiology and Psychiatric Sciences,2045-7960
671,World Allergy Organization Journal,1939-4551
672,SENSORS AND ACTUATORS B-CHEMICAL,0925-4005
672,Solid State Physics,0081-1947
674,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8436
675,Circulation-Cardiovascular Genetics,1942-325X
676,Molecular Therapy-Nucleic Acids,2162-2531
677,GONDWANA RESEARCH,1342-937X
678,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,1040-8436
679,ULTRASOUND IN OBSTETRICS & GYNECOLOGY,0960-7692
680,JOURNAL OF CLEANER PRODUCTION,0959-6526
681,Current Opinion in Virology,1879-6257
682,Cell Death & Disease,2041-4889
683,Forensic Science International-Genetics,1872-4973
684,Advances in Virus Research,0065-3527
685,Advanced Healthcare Materials,2192-2640
686,JOURNAL OF ECONOMIC PERSPECTIVES,0895-3309
687,FASEB JOURNAL,0892-6638
687,Journal of Molecular Cell Biology,1674-2788
689,Cell Chemical Biology,2451-9448
690,STEM CELLS,1066-5099
691,EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613
692,Journal of Clinical Medicine,2077-0383
693,ADDICTION BIOLOGY,1355-6215
694,ASTRONOMY & ASTROPHYSICS,1432-0746
695,JOURNAL OF GASTROENTEROLOGY,0944-1174
696,PAIN,0304-3959
697,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,0360-3016
698,Expert Opinion on Drug Delivery,1742-5247
699,ASTROPHYSICAL JOURNAL,0004-637X
700,ACM COMPUTING SURVEYS,0360-0300
701,International Journal of Behavioral Nutrition and Physical Activity,1479-5868
702,Progress in Optics,0079-6638
703,JOURNAL OF HIGH ENERGY PHYSICS,1029-8479
704,PLoS Genetics,1553-7404
705,Topics in Current Chemistry,2365-0869
706,Ocular Surface,1542-0124
707,PERSONNEL PSYCHOLOGY,0031-5826
708,PEDIATRICS,0031-4005
709,Frontiers in Immunology,1664-3224
710,ATMOSPHERIC CHEMISTRY AND PHYSICS,1680-7316
711,Journal of CO2 Utilization,2212-9820
711,OncoImmunology,2162-402X
713,INTERNATIONAL JOURNAL OF PLASTICITY,0749-6419
714,CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,1015-8987
715,Biotechnology for Biofuels,1754-6834
716,CLINICAL NUTRITION,0261-5614
717,VALUE IN HEALTH,1098-3015
717,VALUE IN HEALTH,1098-3015
719,FUNCTIONAL ECOLOGY,0269-8463
720,STRATEGIC MANAGEMENT JOURNAL,0143-2095
721,BIOINFORMATICS,1367-4803
722,JOURNAL OF RETAILING,0022-4359
723,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,1093-9687
723,PSYCHOLOGICAL MEDICINE,0033-2917
723,PSYCHOLOGICAL MEDICINE,0033-2917
726,Advanced Electronic Materials,2199-160X
727,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,1097-6647
728,Organic Chemistry Frontiers,2052-4129
729,OSTEOARTHRITIS AND CARTILAGE,1063-4584
730,INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,0891-5520
731,BRITISH JOURNAL OF SURGERY,0007-1323
732,ANAESTHESIA,0003-2409
733,CEMENT AND CONCRETE RESEARCH,0008-8846
733,IEEE Transactions on Industrial Informatics,1551-3203
733,MIS QUARTERLY,0276-7783
733,MIS QUARTERLY,0276-7783
737,NEUROIMAGE,1053-8119
738,HEART,1355-6037
739,DNA RESEARCH,1340-2838
739,Global Change Biology Bioenergy,1757-1693
739,PLANT CELL AND ENVIRONMENT,0140-7791
742,Acta Neuropathologica Communications,2051-5960
743,DEVELOPMENT,0950-1991
744,Journal of Chemical Theory and Computation,1549-9618
745,JOURNAL OF FINANCE,0022-1082
746,CLINICAL MICROBIOLOGY AND INFECTION,1198-743X
747,JOURNAL OF DENTAL RESEARCH,0022-0345
748,JOURNAL OF UROLOGY,0022-5347
749,Catalysis Science & Technology,2044-4753
749,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,1180-4882
749,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,1180-4882
749,MOLECULAR CANCER THERAPEUTICS,1535-7163
753,HUMAN MUTATION,1059-7794
754,MEDICAL IMAGE ANALYSIS,1361-8415
755,Business Strategy and the Environment,0964-4733
756,JOURNAL OF EXPERIMENTAL BOTANY,0022-0957
757,Epigenetics & Chromatin,1756-8935
758,PROCEEDINGS OF THE NUTRITION SOCIETY,0029-6651
759,Annual Review of Virology,2327-056X
760,Wiley Interdisciplinary Reviews-Developmental Biology,1759-7684
761,PROCEEDINGS OF THE COMBUSTION INSTITUTE,1540-7489
762,ENDOCRINE-RELATED CANCER,1351-0088
763,JOURNAL OF MANAGEMENT STUDIES,0022-2380
764,Cancers,2072-6694
765,Journal of the American Medical Directors Association,1525-8610
766,Cell Communication and Signaling,1478-811X
767,ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587
768,ACS Synthetic Biology,2161-5063
769,CRITICAL REVIEWS IN TOXICOLOGY,1040-8444
770,Scientific Data,2052-4463
771,ONCOLOGIST,1083-7159
772,AMERICAN JOURNAL OF HEMATOLOGY,0361-8609
773,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828
774,JOURNAL OF NANOBIOTECHNOLOGY,1477-3155
774,PURE AND APPLIED CHEMISTRY,0033-4545
776,Multiple Sclerosis Journal,1352-4585
777,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,1040-9238
778,Environmental Innovation and Societal Transitions,2210-4224
778,Environmental Innovation and Societal Transitions,2210-4224
780,Molecular Oncology,1878-0261
781,Journal of Biological Engineering,1754-1611
782,IEEE TRANSACTIONS ON POWER SYSTEMS,0885-8950
783,JOURNAL OF POLITICAL ECONOMY,0022-3808
784,RHEUMATOLOGY,1462-0324
785,Photonics Research,2327-9125
786,CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551
787,MOLECULAR & CELLULAR PROTEOMICS,1535-9476
788,Cardiovascular Diabetology,1475-2840
789,ALTEX-Alternatives to Animal Experimentation,1868-596X
790,EUROPACE,1099-5129
791,NEUROBIOLOGY OF DISEASE,0969-9961
792,AMERICAN JOURNAL OF POLITICAL SCIENCE,0092-5853
792,CLINICAL SCIENCE,0143-5221
794,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,0305-7453
795,RNA Biology,1547-6286
796,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742
797,Advances in Wound Care,2162-1918
797,Advances in the Study of Behavior,0065-3454
797,YALE LAW JOURNAL,0044-0094
800,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,0035-8711
801,Journal of Neuroinflammation,1742-2094
802,INTERNATIONAL IMMUNOLOGY,0953-8178
803,JOURNAL OF INFECTIOUS DISEASES,0022-1899
804,Aging-US,1945-4589
804,Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,1874-9399
806,IEEE Journal of Emerging and Selected Topics in Power Electronics,2168-6777
807,EUROPEAN PHYSICAL JOURNAL C,1434-6044
807,JOURNAL OF ECOLOGY,0022-0477
809,Journal of Travel Research,0047-2875
810,REVISTA ESPANOLA DE CARDIOLOGIA,0300-8932
811,mAbs,1942-0862
812,JOURNAL OF FINANCIAL ECONOMICS,0304-405X
813,CHEMISTRY-A EUROPEAN JOURNAL,0947-6539
813,COMPOSITES SCIENCE AND TECHNOLOGY,0266-3538
815,INTERNATIONAL JOURNAL OF OBESITY,0307-0565
816,CARBOHYDRATE POLYMERS,0144-8617
816,CLINICAL AND EXPERIMENTAL ALLERGY,0954-7894
818,MOLECULAR NUTRITION & FOOD RESEARCH,1613-4125
819,Annual Review of Vision Science,2374-4642
820,IEEE Transactions on Systems Man Cybernetics-Systems,2168-2216
820,Journal of the International AIDS Society,1758-2652
820,SLEEP,1550-9109
823,BRITISH JOURNAL OF HAEMATOLOGY,0007-1048
824,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,1475-7516
825,Wiley Interdisciplinary Reviews-Climate Change,1757-7780
825,Wiley Interdisciplinary Reviews-Climate Change,1757-7780
827,ADVANCED SYNTHESIS & CATALYSIS,1615-4150
827,ANALYTICA CHIMICA ACTA,0003-2670
829,RESOURCES CONSERVATION AND RECYCLING,0921-3449
830,AMERICAN JOURNAL OF MEDICINE,0002-9343
831,ELECTROCHIMICA ACTA,0013-4686
832,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,0925-4439
833,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,0890-6955
833,Inorganic Chemistry Frontiers,2052-1553
835,JOURNAL OF COLLOID AND INTERFACE SCIENCE,0021-9797
836,FOOD HYDROCOLLOIDS,0268-005X
837,ANNALS OF TOURISM RESEARCH,0160-7383
838,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,0004-8674
838,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,0004-8674
840,Materials Science & Engineering C-Materials for Biological Applications,0928-4931
841,MOLECULAR NEUROBIOLOGY,0893-7648
842,Advances in Agronomy,0065-2113
842,GEOLOGY,0091-7613
844,CARCINOGENESIS,0143-3334
844,IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149
846,Microsystems & Nanoengineering,2055-7434
846,Oceanography and Marine Biology,0078-3218
848,Journal of Biomedical Nanotechnology,1550-7033
849,EPILEPSIA,0013-9580
850,EXERCISE AND SPORT SCIENCES REVIEWS,0091-6331
851,AMERICAN SOCIOLOGICAL REVIEW,0003-1224
852,IEEE CONTROL SYSTEMS MAGAZINE,1066-033X
853,Aging and Disease,2152-5250
854,Soft Robotics,2169-5172
855,ORGANIZATION & ENVIRONMENT,1086-0266
856,Gastric Cancer,1436-3291
857,DEPRESSION AND ANXIETY,1091-4269
857,DEPRESSION AND ANXIETY,1091-4269
859,Circulation-Cardiovascular Quality and Outcomes,1941-7705
860,REVIEWS IN MEDICAL VIROLOGY,1052-9276
861,American Economic Journal-Applied Economics,1945-7782
862,NEUROENDOCRINOLOGY,0028-3835
863,JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,0026-1165
864,SOLAR ENERGY MATERIALS AND SOLAR CELLS,0927-0248
865,Alzheimers Research & Therapy,1758-9193
866,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1537-4416
867,ANNALS OF EMERGENCY MEDICINE,0196-0644
868,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,0018-9286
869,Nanomedicine,1743-5889
870,JOURNAL OF NEUROTRAUMA,0897-7151
871,Advances in Applied Mechanics,0065-2156
872,CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X
873,LANDSCAPE AND URBAN PLANNING,0169-2046
873,LANDSCAPE AND URBAN PLANNING,0169-2046
873,NEOPLASIA,1476-5586
876,EPIDEMIOLOGY,1044-3983
876,EPIDEMIOLOGY,1044-3983
878,HUMAN REPRODUCTION,0268-1161
879,ACTA PSYCHIATRICA SCANDINAVICA,0001-690X
879,ACTA PSYCHIATRICA SCANDINAVICA,0001-690X
881,OBSTETRICS AND GYNECOLOGY,0029-7844
882,Epigenomics,1750-1911
883,ENVIRONMENTAL MICROBIOLOGY,1462-2912
884,Educational Research Review,1747-938X
885,ENERGY,0360-5442
886,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,1388-1981
887,REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,1389-9155
887,Stem Cell Research & Therapy,1757-6512
889,THROMBOSIS AND HAEMOSTASIS,0340-6245
890,CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,0969-5893
891,FOOD CHEMISTRY,0308-8146
892,Advances in Organometallic Chemistry,0065-3055
893,RADIOTHERAPY AND ONCOLOGY,0167-8140
893,SEMINARS IN ONCOLOGY,0093-7754
895,JOURNAL OF MOLECULAR MEDICINE-JMM,0946-2716
896,CELL PROLIFERATION,0960-7722
896,Oxidative Medicine and Cellular Longevity,1942-0900
898,IEEE Geoscience and Remote Sensing Magazine,2168-6831
899,Stem Cells Translational Medicine,2157-6564
900,HUMAN BRAIN MAPPING,1065-9471
900,Polymer Chemistry,1759-9954
902,SOIL BIOLOGY & BIOCHEMISTRY,0038-0717
903,COMPOSITES PART B-ENGINEERING,1359-8368
904,Corporate Social Responsibility and Environmental Management,1535-3958
904,Epigenetics,1559-2294
904,ORGANIZATIONAL RESEARCH METHODS,1094-4281
907,AIDS,0269-9370
908,Advances in Ecological Research,0065-2504
909,FUEL,0016-2361
910,CORTEX,0010-9452
910,STRUCTURE,0969-2126
912,HUMAN MOLECULAR GENETICS,0964-6906
912,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,1079-5006
912,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,1079-5006
915,RENEWABLE ENERGY,0960-1481
915,Therapeutic Advances in Chronic Disease,2040-6223
917,JOURNAL OF OPERATIONS MANAGEMENT,0272-6963
917,JOURNAL OF OPERATIONS MANAGEMENT,0272-6963
917,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,1538-7933
920,PHARMACOLOGICAL RESEARCH,1043-6618
921,JOURNAL OF MOLECULAR BIOLOGY,0022-2836
921,NEUROPSYCHOLOGY REVIEW,1040-7308
921,NEUROPSYCHOLOGY REVIEW,1040-7308
924,CHEMICAL RECORD,1527-8999
925,SIAM REVIEW,0036-1445
926,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536
927,Annual Review of Applied Linguistics,0267-1905
927,JOURNAL OF MOLECULAR DIAGNOSTICS,1525-1578
927,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,0022-5223
927,Translational Research,1931-5244
931,BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,1470-0328
932,CORROSION SCIENCE,0010-938X
933,JOURNAL OF PAIN,1526-5900
934,AMERICAN PSYCHOLOGIST,0003-066X
935,Exposure and Health,2451-9766
936,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,1438-4639
937,AMERICAN JOURNAL OF BIOETHICS,1526-5161
937,AMERICAN JOURNAL OF BIOETHICS,1526-5161
937,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452
940,HEALTH AFFAIRS,0278-2715
940,HEALTH AFFAIRS,0278-2715
942,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,1226-086X
943,Advanced Materials Interfaces,2196-7350
944,Food Engineering Reviews,1866-7910
945,Cells,2073-4409
946,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,0223-5234
947,Developmental Cognitive Neuroscience,1878-9293
947,Developmental Cognitive Neuroscience,1878-9293
949,MRS BULLETIN,0883-7694
950,JOURNAL OF ORGANIC CHEMISTRY,0022-3263
951,FERTILITY AND STERILITY,0015-0282
952,TECHNOVATION,0166-4972
952,TECHNOVATION,0166-4972
954,ACADEMIC MEDICINE,1040-2446
955,WILDLIFE MONOGRAPHS,0084-0173
956,EDUCATIONAL PSYCHOLOGY REVIEW,1040-726X
957,AMERICAN JOURNAL OF OPHTHALMOLOGY,0002-9394
958,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,1468-6996
959,DEVELOPMENTAL REVIEW,0273-2297
960,Physical Review Applied,2331-7019
961,Journal of Materials Chemistry B,2050-750X
962,Clinics in Liver Disease,1089-3261
962,EVOLUTIONARY ANTHROPOLOGY,1060-1538
964,ANNALS OF MATHEMATICS,0003-486X
965,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,1072-7515
966,CELLULAR ONCOLOGY,2211-3428
967,Journal of Stroke,2287-6391
967,Reviews in Fisheries Science & Aquaculture,2330-8249
967,Therapeutic Advances in Neurological Disorders,1756-2856
970,HEART RHYTHM,1547-5271
971,CRITICAL REVIEWS IN MICROBIOLOGY,1040-841X
971,JOURNAL OF PSYCHOPHARMACOLOGY,0269-8811
973,ENVIRONMENTAL RESEARCH,0013-9351
974,PSYCHONEUROENDOCRINOLOGY,0306-4530
975,PROGRESS IN AEROSPACE SCIENCES,0376-0421
976,Circulation-Arrhythmia and Electrophysiology,1941-3149
977,GPS SOLUTIONS,1080-5370
978,WASTE MANAGEMENT,0956-053X
979,Oncogenesis,2157-9024
980,PARKINSONISM & RELATED DISORDERS,1353-8020
981,XENOTRANSPLANTATION,0908-665X
982,NEUROREHABILITATION AND NEURAL REPAIR,1545-9683
983,Current HIV/AIDS Reports,1548-3568
984,INORGANIC CHEMISTRY,0020-1669
985,Evolutionary Applications,1752-4571
986,Expert Opinion on Drug Discovery,1746-0441
987,Translational Psychiatry,2158-3188
988,DRUGS,0012-6667
988,GEOCHIMICA ET COSMOCHIMICA ACTA,0016-7037
990,Advances in Genetics,0065-2660
991,BJU INTERNATIONAL,1464-4096
992,Academy of Management Perspectives,1558-9080
993,Cell Division,1747-1028
994,Advances in Applied Microbiology,0065-2164
995,Advances in Nonlinear Analysis,2191-9496
995,ChemCatChem,1867-3880
997,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,0963-7214
998,IEEE TRANSACTIONS ON COMMUNICATIONS,0090-6778
998,JOURNAL OF MEDICAL INTERNET RESEARCH,1438-8871
1000,CATALYSIS TODAY,0920-5861
1001,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0196-2892
1002,BIOLOGICAL CONSERVATION,0006-3207
1002,JOURNAL OF CLIMATE,0894-8755
1002,RESEARCH POLICY,0048-7333
1005,CEMENT & CONCRETE COMPOSITES,0958-9465
1005,ELECTROCHEMISTRY COMMUNICATIONS,1388-2481
1007,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,0167-4889
1008,Annals of Clinical and Translational Neurology,2328-9503
1009,TRANSPORT REVIEWS,0144-1647
1010,JOURNAL OF APPLIED PSYCHOLOGY,0021-9010
1011,JOURNAL OF ABNORMAL PSYCHOLOGY,0021-843X
1012,Reaction Chemistry & Engineering,2058-9883
1013,Future Generation Computer Systems-The International Journal of eScience,0167-739X
1014,ORAL ONCOLOGY,1368-8375
1015,JOURNAL OF GEODESY,0949-7714
1016,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,1323-3580
1017,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,0894-0347
1018,Advanced Materials Technologies,2365-709X
1019,Clinical and Translational Gastroenterology,2155-384X
1019,EUROPEAN JOURNAL OF NEUROLOGY,1351-5101
1021,ECOLOGY,0012-9658
1022,DIVERSITY AND DISTRIBUTIONS,1366-9516
1023,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697
1024,JOURNAL OF NEUROCHEMISTRY,0022-3042
1025,Cancer Biology & Medicine,2095-3941
1026,JOURNAL OF INFECTION,0163-4453
1027,NEPHROLOGY DIALYSIS TRANSPLANTATION,0931-0509
1028,EXPERT OPINION ON THERAPEUTIC TARGETS,1472-8222
1028,TRENDS IN CARDIOVASCULAR MEDICINE,1050-1738
1030,MOLECULAR CANCER RESEARCH,1541-7786
1031,Earths Future,2328-4277
1032,ACS Chemical Biology,1554-8929
1033,PUBLIC ADMINISTRATION REVIEW,0033-3352
1034,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,1059-0501
1034,NUTRITION RESEARCH REVIEWS,0954-4224
1036,IEEE Transactions on Affective Computing,1949-3045
1036,STANFORD LAW REVIEW,0038-9765
1038,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,0021-9355
1039,EARTH AND PLANETARY SCIENCE LETTERS,0012-821X
1040,International Journal of Neural Systems,0129-0657
1041,Asian Journal of Pharmaceutical Sciences,1818-0876
1042,SEMINARS IN NUCLEAR MEDICINE,0001-2998
1043,MOLECULAR PHARMACEUTICS,1543-8384
1044,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,1055-9965
1045,European Journal of Preventive Cardiology,2047-4873
1045,JOURNAL OF ACCOUNTING RESEARCH,0021-8456
1045,Journal of Physiotherapy,1836-9553
1048,Environmental Research Letters,1748-9326
1048,JMIR mHealth and uHealth,2291-5222
1050,ANNALS OF FAMILY MEDICINE,1544-1709
1050,GYNECOLOGIC ONCOLOGY,0090-8258
1050,JOURNAL OF PHYSIOLOGY-LONDON,0022-3751
1053,BUILDING AND ENVIRONMENT,0360-1323
1053,JOURNAL OF IMMUNOLOGY,0022-1767
1055,COMPUTERS & EDUCATION,0360-1315
1055,COMPUTERS & EDUCATION,0360-1315
1057,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,0022-006X
1058,JOURNAL OF INFORMATION TECHNOLOGY,0268-3962
1058,JOURNAL OF INFORMATION TECHNOLOGY,0268-3962
1060,CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,1363-1950
1061,FEBS Journal,1742-464X
1062,AMERICAN ECONOMIC REVIEW,0002-8282
1062,Journal of Oncology,1687-8450
1064,MATERIALS & DESIGN,0264-1275
